id	volume	entry_type	title	date_label	candidate_count	reviewed_statements	status	first_pass_summary
MX1-011	1	main_work	关心群众生活，注意工作方法	一九三四年一月二十七日	34	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX1-012	1	main_work	论反对日本帝国主义的策略	一九三五年十二月二十七日	202	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX1-013	1	main_work	中国革命战争的战略问题	一九三六年十二月	274	1	source_records_with_open_verification_items	《中国革命战争的战略问题》题注转述作者说明，已写成五章，原拟续写的战略进攻、政治工作等部分因西安事变发生而搁笔。
MX1-014	1	main_work	关于蒋介石声明的声明	一九三六年十二月二十八日	44	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX1-015	1	main_work	中国共产党在抗日时期的任务	一九三七年五月三日	75	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX1-016	1	main_work	为争取千百万群众进入抗日民族统一战线而斗争	一九三七年五月八日	44	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX1-017	1	main_work	实践论	一九三七年七月	154	1	source_records_with_open_verification_items	《毛泽东年谱》1951年3月27日条转引致李达信，称《实践论》中将太平天国放在排外主义中一起说不妥，拟在出选集时修改；同页编者注称，第1卷出版时尚未按该意见修改。
MX1-018	1	main_work	矛盾论	一九三七年八月	169	1	source_records_with_open_verification_items	《矛盾论》题注称，收入选集第一版时，作者作了部分补充、删节和修改。
MX2-001	2	main_work	反对日本进攻的方针、办法和前途	一九三七年七月二十三日	26	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-002	2	main_work	为动员一切力量争取抗战胜利而斗争	一九三七年八月二十五日	37	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-003	2	main_work	反对自由主义	一九三七年九月七日	42	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-004	2	main_work	国共合作成立后的迫切任务	一九三七年九月二十九日	27	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-005	2	main_work	和英国记者贝特兰的谈话	一九三七年十月二十五日	29	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-006	2	main_work	上海太原失陷以后抗日战争的形势和任务	一九三七年十一月十二日	26	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-007	2	main_work	陕甘宁边区政府、第八路军后方留守处布告	一九三八年五月十五日	26	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-008	2	main_work	抗日游击战争的战略问题	一九三八年五月	97	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-009	2	main_work	论持久战	一九三八年五月	222	1	source_records_with_open_verification_items	《论持久战》题注所载讲演日期为1938年5月26日至6月3日；篇下日期标签为1938年5月。
MX2-010	2	main_work	中国共产党在民族战争中的地位	一九三八年十月十四日	144	1	source_records_with_open_verification_items	《中国共产党在民族战争中的地位》题注称，该篇是《论新阶段》政治报告的一部分，报告于1938年10月12日至14日作，该部分于14日讲述。
MX2-011	2	main_work	统一战线中的独立自主问题	一九三八年十一月五日	17	1	source_records_with_open_verification_items	《统一战线中的独立自主问题》和《战争和战略问题》的题注分别称，两篇是六届六中全会结论的一部分，讲述日期分别为1938年11月5日和6日。
MX2-012	2	main_work	战争和战略问题	一九三八年十一月六日	65	2	source_records_with_open_verification_items	《统一战线中的独立自主问题》和《战争和战略问题》的题注分别称，两篇是六届六中全会结论的一部分，讲述日期分别为1938年11月5日和6日；《毛泽东年谱》1954年8月13日条记有英国共产党方面提出的英译本删段请求：拟删《战争和战略问题》第一节前两个自然段；同条所载中方复信不同意该请求。
MX2-013	2	main_work	五四运动	一九三九年五月一日	276	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-014	2	main_work	青年运动的方向	一九三九年五月四日	28	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-015	2	main_work	反对投降活动	一九三九年六月三十日	32	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-016	2	main_work	必须制裁反动派	一九三九年八月一日	33	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-017	2	main_work	关于国际新形势对新华日报记者的谈话	一九三九年九月一日	17	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-018	2	main_work	和中央社、扫荡报、新民报三记者的谈话	一九三九年九月十六日	28	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-019	2	main_work	苏联利益和人类利益的一致	一九三九年九月二十八日	15	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-020	2	main_work	《共产党人》发刊词	一九三九年十月四日	43	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-021	2	main_work	目前形势和党的任务	一九三九年十月十日	13	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-022	2	main_work	大量吸收知识分子	一九三九年十二月一日	22	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-023	2	main_work	中国革命和中国共产党	一九三九年十二月	143	3	source_records_with_open_verification_items	《中国革命和中国共产党》题注称，第一章由其他同志起草、毛泽东修改，第二章由毛泽东写，原拟第三章因承担写作的人没有完成而停止；《毛泽东年谱》称，1940年反对第一次反共高潮结束后，《中国革命和中国共产党》第二章第四节加写三段，分别区分大资产阶级与民族资产阶级、亲日派与英美派大资产阶级、大地主与中小地主及开明绅士；MIA所录《毛选》注释[34]和[34a]转引致萧向荣信，记有早先不易辨别不同阶层态度、至1940年3月看得更清楚的说明，并述及第二章的相应修改。
MX2-024	2	main_work	斯大林是中国人民的朋友	一九三九年十二月二十日	15	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-025	2	main_work	纪念白求恩	一九三九年十二月二十一日	27	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-026	2	main_work	新民主主义论	一九四○年一月	217	2	source_records_with_open_verification_items	《新民主主义论》题注记载原题为《新民主主义的政治与新民主主义的文化》，1940年2月15日刊于《中国文化》，2月20日刊于《解放》时改为现题；《毛泽东年谱》1966年文艺座谈会纪要修订条，记述纪要中引用四篇著作及相关措辞的修改；该条所列被修改文件为纪要。
MX2-027	2	main_work	克服投降危险，力争时局好转	一九四○年一月二十八日	16	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-028	2	main_work	团结一切抗日力量，反对反共顽固派	一九四○年二月一日	31	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-029	2	main_work	向国民党的十点要求	一九四○年二月一日	25	1	source_records_with_open_verification_items	《向国民党的十点要求》题注称，该文是为延安民众讨汪大会起草的通电。
MX2-030	2	main_work	《中国工人》发刊词	一九四○年二月七日	11	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-031	2	main_work	必须强调团结和进步	一九四○年二月七日	10	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-032	2	main_work	新民主主义的宪政	一九四○年二月二十日	38	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-033	2	main_work	抗日根据地的政权问题	一九四○年三月六日	15	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-034	2	main_work	目前抗日统一战线中的策略问题	一九四○年三月十一日	31	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-035	2	main_work	放手发展抗日力量，抵抗反共顽固派的进攻	一九四○年五月四日	19	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-036	2	main_work	团结到底	一九四○年七月五日	36	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-037	2	main_work	论政策	一九四○年十二月二十五日	83	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-038	2	main_work	为皖南事变发表的命令和谈话	一九四一年一月二十日	18	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-039	2	main_work	打退第二次反共高潮后的时局	一九四一年三月十八日	16	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX2-040	2	main_work	关于打退第二次反共高潮的总结	一九四一年五月八日	23	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-001	3	main_work	《农村调查》的序言和跋	一九四一年三月、四月	22	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-002	3	main_work	改造我们的学习	一九四一年五月十九日	41	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-003	3	main_work	揭破远东慕尼黑的阴谋	一九四一年五月二十五日	13	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-004	3	main_work	关于反法西斯的国际统一战线	一九四一年六月二十三日	10	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-005	3	main_work	在陕甘宁边区参议会的演说	一九四一年十一月六日	27	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-006	3	main_work	整顿党的作风	一九四二年二月一日	69	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-007	3	main_work	反对党八股	一九四二年二月八日	88	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-008	3	main_work	在延安文艺座谈会上的讲话	一九四二年五月	130	2	source_records_with_open_verification_items	《在延安文艺座谈会上的讲话》的选集基线列有引言和结论。《毛泽东年谱》记载，1943年10月19日《解放日报》发表1942年5月的讲话，20日中央总学委通知组织学习；《毛泽东年谱》1966年文艺座谈会纪要修订条，记述纪要中引用四篇著作及相关措辞的修改；该条所列被修改文件为纪要。
MX3-009	3	main_work	一个极其重要的政策	一九四二年九月七日	32	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-010	3	main_work	第二次世界大战的转折点	一九四二年十月十二日	22	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-011	3	main_work	祝十月革命二十五周年	一九四二年十一月六日	10	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-012	3	main_work	抗日时期的经济问题和财政问题	一九四二年十二月	148	1	source_records_with_open_verification_items	《抗日时期的经济问题和财政问题》题注称，该篇是《经济问题与财政问题》报告的第一章，原章名为《关于过去工作的基本总结》。
MX3-013	3	main_work	关于领导方法的若干问题	一九四三年六月一日	29	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-014	3	main_work	质问国民党	一九四三年七月十二日	27	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-015	3	main_work	开展根据地的减租、生产和拥政爱民运动	一九四三年十月一日	25	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-016	3	main_work	评国民党十一中全会和三届二次国民参政会	一九四三年十月五日	35	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-017	3	main_work	组织起来	一九四三年十一月二十九日	450	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-018	3	main_work	学习和时局	一九四四年四月十二日	56	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-019	3	appendix	附录：关于若干历史问题的决议	一九四五年四月二十日	83	1	source_records_with_open_verification_items	《毛泽东选集》第三卷将《关于若干历史问题的决议》标为附录，并注明1945年4月20日六届七中全会通过。
MX3-020	3	main_work	为人民服务	一九四四年九月八日	257	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-021	3	main_work	评蒋介石在双十节的演说	一九四四年十月十一日	11	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-022	3	main_work	文化工作中的统一战线	一九四四年十月三十日	19	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-023	3	main_work	必须学会做经济工作	一九四五年一月十日	22	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-024	3	main_work	游击区也能够进行生产	一九四五年一月三十一日	13	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-025	3	main_work	两个中国之命运	一九四五年四月二十三日	17	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-026	3	main_work	论联合政府	一九四五年四月二十四日	244	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-027	3	main_work	愚公移山	一九四五年六月十一日	43	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-028	3	main_work	论军队生产自给，兼论整风和生产两大运动的重要性	一九四五年四月二十七日	19	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-029	3	main_work	赫尔利和蒋介石的双簧已经破产	一九四五年七月十日	13	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-030	3	main_work	评赫尔利政策的危险	一九四五年七月十二日	13	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-031	3	main_work	给福斯特同志的电报	一九四五年七月二十九日	8	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX3-032	3	main_work	对日寇的最后一战	一九四五年八月九日	11	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-001	4	main_work	抗日战争胜利后的时局和我们的方针	一九四五年八月十三日	50	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-002	4	main_work	蒋介石在挑动内战	一九四五年八月十三日	20	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-003	4	main_work	第十八集团军总司令给蒋介石的两个电报	一九四五年八月	18	1	source_records_with_open_verification_items	《第十八集团军总司令给蒋介石的两个电报》题注称，两份电报由毛泽东为第十八集团军总司令写。
MX4-004	4	main_work	评蒋介石发言人谈话	一九四五年八月十六日	17	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-005	4	main_work	中共中央关于同国民党进行和平谈判的通知	一九四五年八月二十六日	14	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-006	4	main_work	关于重庆谈判	一九四五年十月十七日	43	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-007	4	main_work	国民党进攻的真相	一九四五年十一月五日	15	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-008	4	main_work	减租和生产是保卫解放区的两件大事	一九四五年十一月七日	18	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-009	4	main_work	一九四六年解放区工作的方针	一九四五年十二月十五日	23	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-010	4	main_work	建立巩固的东北根据地	一九四五年十二月二十八日	16	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-011	4	main_work	关于目前国际形势的几点估计	一九四六年四月	20	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-012	4	main_work	以自卫战争粉碎蒋介石的进攻	一九四六年七月二十日	45	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-013	4	main_work	和美国记者安娜·路易斯·斯特朗的谈话	一九四六年八月六日	15	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-014	4	main_work	集中优势兵力，各个歼灭敌人	一九四六年九月十六日	23	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-015	4	main_work	美国“调解”真相和中国内战前途	一九四六年九月二十九日	26	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-016	4	main_work	三个月总结	一九四六年十月一日	27	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-017	4	main_work	迎接中国革命的新高潮	一九四七年二月一日	35	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-018	4	main_work	中共中央关于暂时放弃延安和保卫陕甘宁边区的两个文件	一九四六年十一月、一九四七年四月	13	1	source_records_with_open_verification_items	《中共中央关于暂时放弃延安和保卫陕甘宁边区的两个文件》在选集中合列两份文件，篇下注有不同日期；题注记述各自写作地点以及敌军占领延安前后的情况。
MX4-019	4	main_work	关于西北战场的作战方针	一九四七年四月十五日	17	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-020	4	main_work	蒋介石政府已处在全民的包围中	一九四七年五月三十日	16	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-021	4	main_work	解放战争第二年的战略方针	一九四七年九月一日	18	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-022	4	main_work	中国人民解放军宣言	一九四七年十月十日	36	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-023	4	main_work	中国人民解放军总部关于重行颁布三大纪律八项注意的训令	一九四七年十月十日	15	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-024	4	main_work	目前形势和我们的任务	一九四七年十二月二十五日	117	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-025	4	main_work	关于建立报告制度	一九四八年一月七日	15	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-026	4	main_work	关于目前党的政策中的几个重要问题	一九四八年一月十八日	36	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-027	4	main_work	军队内部的民主运动	一九四八年一月三十日	15	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-028	4	main_work	在不同地区实施土地法的不同策略	一九四八年二月三日	11	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-029	4	main_work	纠正土地改革宣传中的“左”倾错误	一九四八年二月十一日	17	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-030	4	main_work	新解放区土地改革要点	一九四八年二月十五日	15	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-031	4	main_work	关于工商业政策	一九四八年二月二十七日	17	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-032	4	main_work	关于民族资产阶级和开明绅士问题	一九四八年三月一日	19	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-033	4	main_work	评西北大捷兼论解放军的新式整军运动	一九四八年三月七日	21	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-034	4	main_work	关于情况的通报	一九四八年三月二十日	22	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-035	4	main_work	在晋绥干部会议上的讲话	一九四八年四月一日	53	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-036	4	main_work	对晋绥日报编辑人员的谈话	一九四八年四月二日	24	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-037	4	main_work	再克洛阳后给洛阳前线指挥部的电报	一九四八年四月八日	15	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-038	4	main_work	新解放区农村工作的策略问题	一九四八年五月二十四日	12	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-039	4	main_work	一九四八年的土地改革工作和整党工作	一九四八年五月二十五日	23	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-040	4	main_work	关于辽沈战役的作战方针	一九四八年九月、十月	19	1	source_records_with_open_verification_items	《关于辽沈战役的作战方针》的选集文本列有电报分项，首个小标题为“九月七日的电报”。
MX4-041	4	main_work	关于健全党委制	一九四八年九月二十日	15	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-042	4	main_work	中共中央关于九月会议的通知	一九四八年十月十日	33	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-043	4	main_work	关于淮海战役的作战方针	一九四八年十月十一日	24	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-044	4	main_work	全世界革命力量团结起来，反对帝国主义的侵略	一九四八年十一月	26	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-045	4	main_work	中国军事形势的重大变化	一九四八年十一月十四日	17	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-046	4	main_work	关于平津战役的作战方针	一九四八年十二月十一日	17	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-047	4	main_work	敦促杜聿明等投降书	一九四八年十二月十七日	11	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-048	4	main_work	将革命进行到底	一九四八年十二月三十日	46	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-049	4	main_work	评战犯求和	一九四九年一月四日	15	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-050	4	main_work	中共中央毛泽东主席关于时局的声明	一九四九年一月十四日	31	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-051	4	main_work	中共发言人评南京行政院的决议	一九四九年一月二十一日	13	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-052	4	main_work	中共发言人关于命令国民党反动政府重新逮捕前日本侵华军总司令冈村宁次和逮捕国民党内战罪犯的谈话	一九四九年一月二十八日	16	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-053	4	main_work	中共发言人关于和平条件必须包括惩办日本战犯和国民党战犯的声明	一九四九年二月五日	9	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-054	4	main_work	把军队变为工作队	一九四九年二月八日	13	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-055	4	main_work	四分五裂的反动派为什么还要空喊“全面和平”？	一九四九年二月十五日	15	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-056	4	main_work	国民党反动派由“呼吁和平”变为呼吁战争	一九四九年二月十六日	13	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-057	4	main_work	评国民党对战争责任问题的几种答案	一九四九年二月十八日	14	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX4-058	4	main_work	在中国共产党第七届中央委员会第二次全体会议上的报告	一九四九年三月五日	57	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
